,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,dominant_topic
Doc13082,0.0,0.34,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1
Doc13083,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,16
Doc13084,0.01,0.13,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.19,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,13
Doc13085,0.01,0.01,0.15,0.01,0.15,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16
Doc13086,0.28,0.09,0.19,0.0,0.0,0.0,0.09,0.0,0.0,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Doc13087,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.23,0.12,0.12,22
Doc13088,0.0,0.23,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.12,0.12,0.0,1
Doc13089,0.0,0.0,0.12,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,4
Doc13090,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.15,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17
Doc13091,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.26,0.01,0.01,0.01,4
Doc13092,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0
Doc13093,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,15
Doc13094,0.01,0.15,0.01,0.01,0.29,0.01,0.01,0.01,0.15,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
Doc13095,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.15,0.29,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,9
Doc13096,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9
Doc13097,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,9
Doc13098,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,9
Doc13099,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16
Doc13100,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.21,0.01,9
Doc13101,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.15,13
Doc13102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.12,0.23,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,10
Doc13103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,13
Doc13104,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,18
Doc13105,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,11
Doc13106,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.15,8
Doc13107,0.0,0.0,0.12,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.23,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4
Doc13108,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.11,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,12
